group,id,geom,palette,experiment,w,padding,x
method_characteristic,method_name,text,NA,Method,1,0,0
score_overall,summary_overall_overall,bar,overall,Summary,4,1,2
score_overall,benchmark_overall_overall,bar,benchmark,Summary,4,0,6
score_overall,scaling_pred_overall_overall,bar,scaling,Summary,4,0,10
score_overall,stability_overall_overall,bar,stability,Summary,4,0,14
score_overall,qc_overall_overall,bar,qc,Summary,4,0,18
benchmark_metric,benchmark_overall_norm_him,funkyrect,benchmark,Accuracy,1,1,23
benchmark_metric,benchmark_overall_norm_F1_branches,funkyrect,benchmark,Accuracy,1,0,24
benchmark_metric,benchmark_overall_norm_correlation,funkyrect,benchmark,Accuracy,1,0,25
benchmark_metric,benchmark_overall_norm_featureimp_wcor,funkyrect,benchmark,Accuracy,1,0,26
benchmark_source,benchmark_source_real_gold,funkyrect,benchmark,Accuracy,1,1,28
benchmark_source,benchmark_source_real_silver,funkyrect,benchmark,Accuracy,1,0,29
benchmark_source,benchmark_source_synthetic_dyngen,funkyrect,benchmark,Accuracy,1,0,30
benchmark_source,benchmark_source_synthetic_dyntoy,funkyrect,benchmark,Accuracy,1,0,31
benchmark_source,benchmark_source_synthetic_prosstt,funkyrect,benchmark,Accuracy,1,0,32
benchmark_source,benchmark_source_synthetic_splatter,funkyrect,benchmark,Accuracy,1,0,33
benchmark_trajtype,benchmark_tt_cycle,funkyrect,benchmark,Accuracy,1,1,35
benchmark_trajtype,benchmark_tt_linear,funkyrect,benchmark,Accuracy,1,0,36
benchmark_trajtype,benchmark_tt_bifurcation,funkyrect,benchmark,Accuracy,1,0,37
benchmark_trajtype,benchmark_tt_convergence,funkyrect,benchmark,Accuracy,1,0,38
benchmark_trajtype,benchmark_tt_multifurcation,funkyrect,benchmark,Accuracy,1,0,39
benchmark_trajtype,benchmark_tt_tree,funkyrect,benchmark,Accuracy,1,0,40
benchmark_trajtype,benchmark_tt_acyclic_graph,funkyrect,benchmark,Accuracy,1,0,41
benchmark_trajtype,benchmark_tt_graph,funkyrect,benchmark,Accuracy,1,0,42
benchmark_trajtype,benchmark_tt_disconnected_graph,funkyrect,benchmark,Accuracy,1,0,43
scaling_predtime,scaling_pred_scoretime_cells1m_features100,rect,scaling,Scalability,1,1,45
scaling_predtime,scaling_pred_scoretime_cells100k_features1k,rect,scaling,Scalability,1,0,46
scaling_predtime,scaling_pred_scoretime_cells10k_features10k,rect,scaling,Scalability,1,0,47
scaling_predtime,scaling_pred_scoretime_cells1k_features100k,rect,scaling,Scalability,1,0,48
scaling_predtime,scaling_pred_scoretime_cells100_features1m,rect,scaling,Scalability,1,0,49
scaling_predmem,scaling_pred_scoremem_cells1m_features100,rect,scaling,Scalability,1,1,51
scaling_predmem,scaling_pred_scoremem_cells100k_features1k,rect,scaling,Scalability,1,0,52
scaling_predmem,scaling_pred_scoremem_cells10k_features10k,rect,scaling,Scalability,1,0,53
scaling_predmem,scaling_pred_scoremem_cells1k_features100k,rect,scaling,Scalability,1,0,54
scaling_predmem,scaling_pred_scoremem_cells100_features1m,rect,scaling,Scalability,1,0,55
stability,stability_him,funkyrect,stability,Stability,1,1,57
stability,stability_F1_branches,funkyrect,stability,Stability,1,0,58
stability,stability_correlation,funkyrect,stability,Stability,1,0,59
stability,stability_featureimp_wcor,funkyrect,stability,Stability,1,0,60
qc_category,qc_cat_availability,funkyrect,qc,Usability,1,1,62
qc_category,qc_cat_behaviour,funkyrect,qc,Usability,1,0,63
qc_category,qc_cat_code_assurance,funkyrect,qc,Usability,1,0,64
qc_category,qc_cat_code_quality,funkyrect,qc,Usability,1,0,65
qc_category,qc_cat_documentation,funkyrect,qc,Usability,1,0,66
qc_category,qc_cat_paper,funkyrect,qc,Usability,1,0,67
